board_id,item_title,status,priority,lead_agent,mapped_wl,slice,effort_estimate,completion_pct
CLIPROXY-001,Core Routing & Auth Framework,In Progress,P0,routing-agent,WL-001,A,M,45
CLIPROXY-002,Provider Type Registry,Completed,P0,routing-agent,WL-002,A,S,100
CLIPROXY-003,LiteLLM Router Config,Completed,P0,routing-agent,WL-003,A,S,100
CLIPROXY-004,OpenRouter Model Mappings,Completed,P0,routing-agent,WL-004,A,S,100
CLIPROXY-005,SSE Parser Keep-Alive Fix,Completed,P0,routing-agent,WL-005,A,S,100
CLIPROXY-010,WebSocket Auth Headers,Completed,P0,routing-agent,WL-001,A,S,100
CLIPROXY-020,Anthropic Provider Adapter,In Progress,P1,provider-agent,WL-020,B,M,35
CLIPROXY-021,Google Provider Adapter,Backlog,P1,provider-agent,WL-021,B,M,0
CLIPROXY-022,OpenRouter Provider Adapter,In Progress,P1,provider-agent,WL-022,B,M,28
CLIPROXY-023,AWS Bedrock Provider Adapter,Backlog,P2,provider-agent,WL-023,B,L,0
CLIPROXY-100,Unit Test Suite (Core),In Progress,P1,qa-agent,WL-100,D,L,15
CLIPROXY-101,Integration Test Suite,Backlog,P1,qa-agent,WL-101,D,L,5
CLIPROXY-102,E2E Test Suite,Backlog,P1,qa-agent,WL-102,D,L,0
CLIPROXY-158,Board Artifact Integration,In Progress,P1,workstream-agent,WL-158,C,M,25
CLIPROXY-159,Cross-Repo Board Sync,Backlog,P2,workstream-agent,WL-159,C,S,0
CLIPROXY-160,Automatic Workstream Reflection,Backlog,P1,workstream-agent,WL-160,C,M,0
CLIPROXY-161,Board-ID-First Reconciliation,Backlog,P1,workstream-agent,WL-161,C,S,0
