Module,LOC,Files,Responsibility,CLIProxy_Overlap,Rewrite_Candidate,Quality_Risk_Level,Test_Coverage_Est,Key_Files
cli,32336,150,CLI commands health reporting exports,Medium,No,High,<60%,commands/cli.py apps/ services/
integrations,21285,140,IDE tool integrations auth quota drift autosync GitHub,High,Partial,High,<50%,workstream_autosync.py auth_expiry.py
agents,15161,60,Agent runners Flash Codex Plangent registry,High,No,High,70%,cliproxy_manager.py codex_proxy.py
mcp,14216,50,MCP server tools registration elicitation cache,None,No,Medium,75%,server.py server_execution_tools.py
governance,12638,40,Cost aggregation policy enforcement metrics compliance,High,Partial,High,60%,compliance.py triggers.py agent_hierarchy.py
routing,12299,45,Pareto frontier task classification constraint validation,Very High,Yes,Critical,<50%,litellm_router.py cost_aware_router.py
orchestration,12157,50,Phase transitions resource management budget session,Medium,Partial,Critical,65%,resource_management.py session_scraper.py
infra,11032,60,Runtime dispatcher error handling diagnostics,None,Partial,High,70%,enhanced_errors.py
tui,5418,40,Textual compositor layout plugins key bindings,None,No,Low,80%,compositor.py
utils,4708,50,String utilities ANSI stripping helpers,None,No,Low,85%,strip_ansi() helpers
planning,4638,30,PERT simulation resource contention continuity risk,None,Partial,Medium,70%,pert_forward_pass() workstream_db.py
ui,4509,35,UI state theme rendering widgets,None,No,Low,80%,state management theme
commands,4310,40,Command handlers sync plan team infra run,Medium,No,Low,75%,sync.py plan_cmds.py
mesh,4152,30,Swarm coordination peer discovery gossip,None,Yes,High,<40%,gossip protocol
memory,2923,25,Agent memory session recall synthesis,None,No,Medium,60%,session scraping
models,2350,20,Model definitions metadata,Medium,No,Low,85%,model definitions
audit,2342,20,Git audit system audit compliance,None,Partial,Medium,70%,shadow_audit_git.py
compute,2189,18,Resource tracking limits scheduling,None,Yes,Medium,65%,load_based_limits.py
contracts,2072,20,Governance contracts policy DSL,High,Partial,Medium,60%,policy definitions
artifacts,2008,15,Artifact storage management,None,Partial,Low,75%,storage handlers
sync,1947,20,Synchronization coordination,None,No,Medium,65%,race condition audit
research,1936,15,Research harness experimentation,None,No,Low,80%,research utilities
docgen,1896,18,Documentation generation,None,No,Low,85%,doc generation
automation,1845,20,Automation workflows,None,No,Low,75%,automation handlers
compositor,1824,15,UI composition layer,None,No,Low,80%,composition logic
task,1762,18,Task definition execution,None,No,Low,75%,task handlers
ux,1685,18,UX utilities feedback,None,No,Low,80%,ux utilities
security,1575,20,Security policies isolation sandboxing,None,Partial,High,<60%,isolation logic
native,1563,15,Native bindings FFI,None,No,Medium,70%,FFI handlers
govern,1438,15,Governance enforcement vetting,Medium,No,Medium,65%,vetting logic
adapters,1417,18,LLM provider adapters,High,No,Medium,70%,adapter implementations
maif,1393,18,MAIF artifacts multi-agent framework,None,No,Low,75%,MAIF utilities
integration,1327,20,Generic integration framework,None,No,Low,75%,integration base
observability,1182,18,Metrics logging tracing,None,No,Low,80%,observability utilities
skills,1179,18,Agent skills capability definitions,None,No,Low,75%,skill definitions
cache,1142,15,Caching layer,None,No,Medium,70%,cache implementations
