relative_path,repo,sha256
.kittify/scripts/tasks/tasks_cli.py,cliproxyapi++,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,cliproxyapi-plusplus,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,agentapi-plusplus,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,thegent,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,heliosApp,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,heliosCLI,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,helios-cli,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,portage,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/tasks_cli.py,tokenledger,6c72a33ae748505529093c88004752e805280b0a7c4de754d1c52d71d344d8a7
.kittify/scripts/tasks/acceptance_core.py,cliproxyapi++,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,cliproxyapi-plusplus,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,agentapi-plusplus,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,thegent,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,heliosApp,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,heliosCLI,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,helios-cli,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,portage,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/acceptance_core.py,tokenledger,685354d8b702e566b1f55df623bc15f1306043d1aa749c18c823da10cc2a707c
.kittify/scripts/tasks/task_helpers_shared.py,cliproxyapi++,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,cliproxyapi-plusplus,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,agentapi-plusplus,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,thegent,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,heliosApp,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,heliosCLI,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,helios-cli,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,portage,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
.kittify/scripts/tasks/task_helpers_shared.py,tokenledger,8bbb4264baa548905b1fe4d452c3d0510b09d634d9192a595d0b22f09a578daa
