repo,canonical_role,layer,allowed_dependencies,forbidden_dependencies,enforcement_hint
cliproxyapi-plusplus,canonical_runtime,cmd,"internal/application;internal/adapters;pkg/llmproxy/api","internal/domain persistence internals direct from cmd","deny imports from internal/domain/* except application entrypoints"
cliproxyapi-plusplus,canonical_runtime,internal/application,"internal/domain;internal/ports","internal/adapters/http;internal/adapters/db concrete clients","application only imports interfaces/ports"
cliproxyapi-plusplus,canonical_runtime,internal/adapters,"internal/ports;internal/domain types","cmd direct coupling;cross-adapter imports","adapters implement ports and are wired in composition root"
cliproxyapi-plusplus,canonical_runtime,internal/domain,"stdlib;pure utilities","internal/adapters;api/http;sdk transport","domain must remain framework-free"
agentapi-plusplus,canonical_runtime,cmd,"internal/server;lib/httpapi","lib/screentracker internals direct from cmd","cmd uses composition root only"
agentapi-plusplus,canonical_runtime,internal/server,"lib/httpapi;internal/routing;domain","sdk transport internals;test helpers","server layer orchestrates adapters"
agentapi-plusplus,canonical_runtime,lib/httpapi,"domain/application;ports","direct process/pty executor internals","httpapi remains transport adapter"
heliosCLI,canonical_runtime,codex-rs/*/src,"crate-local domain/application modules","cross-crate private module reach-through","enforce via crate boundaries + denied lints"
heliosCLI,canonical_runtime,sdk/typescript/src,"public protocol contracts only","direct rust internals;private file paths","sdk imports only versioned API contracts"
helios-cli,compat_wrapper,all,"heliosCLI published artifacts/contracts","direct forked core edits unless migration-approved","wrapper-only policy until convergence"
thegent,canonical_shared_source,src/thegent/adapters,"src/thegent/domain;ports","docs_engine internals;research_engine internals","separate runtime engine from tooling/documentation engines"
thegent,canonical_shared_source,src/docs_engine,"template/shared contracts","runtime adapters;agent execution internals","docs engine remains sidecar capability"
portage,canonical_runtime,src/harbor/cli,"src/harbor/tasks;src/harbor/domain","adapter concrete clients direct in CLI","CLI should call application services"
tokenledger,canonical_runtime,src/ingest,"src/domain models;ports","routing transport internals direct","ingest pipeline split by stage with interfaces"
