owner,repo,full_name,url,description,private,archived,disabled,license,default_branch,language,size_kb,stars,forks,watchers,open_issues,created_at,updated_at,pushed_at,topics,priority_score,verdict,audit_note
ruvnet,SynthLang,ruvnet/SynthLang,https://github.com/ruvnet/SynthLang,SynthLang is a hyper-efficient prompt language designed to optimize interactions with Large Language Models (LLMs) like GPT-4o by leveraging logographical scripts and symbolic constructs.,false,false,false,MIT,main,Python,4442,238,55,238,0,2025-01-05T03:22:35Z,2026-02-23T10:49:21Z,2025-03-25T03:05:51Z,,58,pilot,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,ruvector,ruvnet/ruvector,https://github.com/ruvnet/ruvector,"RuVector is a high performance vector and graph database built in Rust for AI, agentic systems, and real time analytics. It combines HNSW search, dynamic minimum cut coherence, graph intelligence, and self learning memory into one unified engine for scalable, low latency reasoning and structured retrieval.",false,false,false,MIT,main,Rust,346873,460,111,460,62,2025-11-19T06:10:23Z,2026-02-23T10:28:43Z,2026-02-23T03:21:21Z,ai;ai-ocr;attention-mechanism;gnn;gnn-model;gnns;graph;graph-neural-networks;llm-inference;low-latency;mincut;neo4j;ocr;onnx;rust;vector;wasm,69,pilot,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,claude-flow,ruvnet/claude-flow,https://github.com/ruvnet/claude-flow,"🌊 The leading agent orchestration platform for Claude. Deploy intelligent multi-agent swarms, coordinate autonomous workflows, and build conversational AI systems. Features    enterprise-grade architecture, distributed swarm intelligence, RAG integration, and native Claude Code support via MCP protocol. Ranked #1 in agent-based frameworks.",false,false,false,MIT,main,TypeScript,421969,14366,1684,14366,501,2025-06-02T21:24:20Z,2026-02-23T09:58:46Z,2026-02-17T21:41:47Z,agentic-ai;agentic-engineering;agentic-framework;agentic-rag;agentic-workflow;agents;ai-assistant;ai-tools;anthropic-claude;autonomous-agents;claude-code;claude-code-skills;codex;huggingface;mcp-server;model-context-protocol;multi-agent;multi-agent-systems;swarm;swarm-intelligence,80,pilot_or_adopt,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,sparc,ruvnet/sparc,https://github.com/ruvnet/sparc,,false,false,false,Apache-2.0,main,Python,19285,425,84,425,16,2024-10-07T13:11:07Z,2026-02-23T09:29:20Z,2025-01-29T16:49:03Z,,50,reference,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,wifi-densepose,ruvnet/wifi-densepose,https://github.com/ruvnet/wifi-densepose,Production-ready implementation of InvisPose - a revolutionary WiFi-based dense human pose estimation system that enables real-time full-body tracking through walls using commodity mesh routers,false,false,false,MIT,main,Python,8142,7244,613,7244,9,2025-06-07T04:32:30Z,2026-02-23T08:43:35Z,2026-01-14T18:33:38Z,,67,pilot,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,agentic-flow,ruvnet/agentic-flow,https://github.com/ruvnet/agentic-flow,"Easily switch between alternative low-cost AI models in Claude Code/Agent SDK. For those comfortable using Claude agents and commands, it lets you take what you've created and deploy fully hosted agents for real business purposes. Use Claude Code to get the agent working, then deploy it in your favorite cloud.",false,false,false,,main,TypeScript,82659,446,107,446,59,2024-09-02T21:15:00Z,2026-02-23T05:53:04Z,2026-02-22T20:41:39Z,agents;claude;claude-agent-sdk;claude-code;gemini;openrouter;swarm-intelligence,55,pilot,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,dspy.ts,ruvnet/dspy.ts,https://github.com/ruvnet/dspy.ts,DS.js (Declarative Self‑learning JavaScript,false,false,false,MIT,main,TypeScript,6850,209,23,209,4,2025-02-22T14:51:48Z,2026-02-22T20:14:53Z,2025-12-06T18:29:32Z,,60,pilot,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,genesis,ruvnet/genesis,https://github.com/ruvnet/genesis,Genesis is a groundbreaking physics platform designed for robotics and embodied AI applications that combines unprecedented simulation speeds with comprehensive features.,false,false,false,NOASSERTION,main,Python,435,25,5,25,0,2024-12-20T02:21:18Z,2026-02-22T02:23:06Z,2025-09-05T15:23:05Z,,40,reference,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,marketing,ruvnet/marketing,https://github.com/ruvnet/marketing,The Best Agentic Marketing Swarm in the World,false,false,false,MIT,main,TypeScript,993,31,10,31,0,2026-01-13T16:44:47Z,2026-02-22T01:28:50Z,2026-01-21T01:34:12Z,,56,pilot,heuristic org-wide scan; deep manual validation required before adoption
ruvnet,ruvnet,ruvnet/ruvnet,https://github.com/ruvnet/ruvnet,ruvnet.,false,false,false,,main,,9734,103,11,103,0,2023-04-10T14:34:35Z,2026-02-21T11:14:46Z,2026-01-22T15:36:30Z,,46,reference,heuristic org-wide scan; deep manual validation required before adoption
