Title,Description,Status,Priority,Assignees,Labels,Milestone,Estimate,DueDate,Notes
"[WL-158] Unified Workstream Integration for CLIProxyAPI++ Board Artifacts","Integrate the generated CLIProxyAPI++ board/import artifacts into thegent unified workstream loop. Board artifacts ready in cliproxyapi-plusplus/docs/planning/.","In Progress","P1","workstream-agent","workstream,docs,planning","2026-03","M","2026-02-28","Evidence: cliproxyapi-plusplus/docs/planning/GITHUB_PROJECT_IMPORT_CLIPROXYAPI_2000_2026-02-22.csv"
"[WL-159] Cross-Repo Board Sync Operationalization","Operationalize repeatable board update/import flow using native tooling and explicit command docs. Added Go utility in cliproxy++: cliproxyapi-plusplus/cmd/boardsync/main.go","In Progress","P2","workstream-agent","tooling,operations","2026-03","S","2026-03-07","Evidence: cliproxyapi-plusplus/cmd/boardsync/main.go"
"[WL-160] Full Automatic Workstream Reflection (GitHub Projects + Linear)","Make board/tooling concerns transparent to agents by running background synchronization that continuously reflects local markdown updates and remote status updates.","In Progress","P1","workstream-agent","sync,automation,integrations","2026-03","M","2026-03-14","Blocked by: external credentials/scopes"
"[WL-161] Board-ID-First Reconciliation Policy","Define deterministic conflict precedence using board-id-first matching and source timestamp ordering.","Backlog","P1","workstream-agent","sync,governance","2026-03","S","2026-03-07","Evidence: docs/research/WORKSTREAM_AUTOSYNC_NEXT_20_ITEMS_2026-02-22.md"
"[WL-001] Core Routing & Auth Framework","Establish core routing and authentication framework for CLIProxyAPI++.","In Progress","P0","routing-agent","routing,core","2026-02","M","2026-02-28","Slice A: 45% complete"
"[WL-002] Provider Type Registry","Add provider type registry for multi-provider support.","Completed","P0","routing-agent","routing,core","2026-02","S","2026-02-25","Slice A: 100% complete"
"[WL-003] LiteLLM Router Config","Add OpenRouter as a backend in routing/litellm_router.py.","Completed","P0","routing-agent","routing,core","2026-02","S","2026-02-25","Slice A: 100% complete"
"[WL-020] Anthropic Provider Adapter","Implement Anthropic provider adapter for CLIProxyAPI++.","In Progress","P1","provider-agent","adapters,provider","2026-02","M","2026-02-28","Slice B: 35% complete"
"[WL-021] Google Provider Adapter","Implement Google provider adapter for CLIProxyAPI++.","Backlog","P1","provider-agent","adapters,provider","2026-03","M","2026-03-07","Slice B: 0% complete"
"[WL-022] OpenRouter Provider Adapter","Implement OpenRouter provider adapter for CLIProxyAPI++.","In Progress","P1","provider-agent","adapters,provider","2026-02","M","2026-02-28","Slice B: 28% complete"
"[WL-100] Unit Test Suite (Core)","Implement comprehensive unit tests for core CLIProxyAPI++ components.","In Progress","P1","qa-agent","testing,quality","2026-03","L","2026-03-15","Slice D: 15% complete"
"[WL-101] Integration Test Suite","Implement integration tests for CLIProxyAPI++ components.","Backlog","P1","qa-agent","testing,quality","2026-03","L","2026-03-21","Slice D: 5% complete"
"[WL-102] E2E Test Suite","Implement end-to-end tests for CLIProxyAPI++ workflows.","Backlog","P1","qa-agent","testing,quality","2026-04","L","2026-04-01","Slice D: 0% complete"
