# WBS_TO_ISSUE_IMPORT_MATRIX

Source: docs/docset/WBS_TO_ISSUE_IMPORT_MATRIX.md

---

# WBS-to-Issue Import Matrix

**Status:** Baseline  
**Date:** 2026-02-15  
**Source:** `docs/docset/thegent-wbs-final.md`

---

## Purpose

Maps work packages from the final WBS to issue/ticket identifiers for execution tracking and import into project management systems.

---

## Phase 0: Foundation and Baseline

| WP ID | Description | Issue ID | Status |
|-------|-------------|----------|--------|
| WP-0001 | Baseline telemetry contracts and run IDs | — | Done (Chunk 219) |
| WP-0002 | Canonical schemas for chunk/evidence/policy events | — | Done (contracts package) |
| WP-0003 | Planner dependency graph normalization | — | Done |
| WP-0004 | Initial risk and confidence scoring framework | — | Done |
| WP-0005 | Program operating model and ownership map | — | Done |

---

## Phase 1: Core Routing and Deterministic Execution

| WP ID | Description | Issue ID | Status |
|-------|-------------|----------|--------|
| WP-1001 | Dependency-aware routing engine | — | Done |
| WP-1002 | Priority and urgency lane model | — | Done |
| WP-1003 | Idempotent execution envelope | — | Done |
| WP-1004 | Deterministic phase transition contracts | — | Done |
| WP-1005 | Evidence capture at every promotion gate | — | Done |
| WP-1006 | Conflict arbitration rules and quorum policy | — | Done |
| WP-1007 | Child-task routing policy by capability and confidence | — | Done |
| WP-1008 | Replay-safe run history and correlation IDs | — | Done |

---

## Phase 2: Reliability and Recovery Hardening

| WP ID | Description | Issue ID | Status |
|-------|-------------|----------|--------|
| WP-2001 | Checkpoint/rollback service | — | Done |
| WP-2002 | Retry strategy with adaptive backoff and guardrails | — | Done |
| WP-2003 | Circuit breakers for tool/model/storage classes | — | Done |
| WP-2004 | Recovery playbook automation and idempotency tokens | — | Done |
| WP-2005 | Failure taxonomy and recurrence clustering | — | Done |
| WP-2006 | Regression prevention probes at pre-promote stage | — | Done |
| WP-2007 | Evidence completeness linting | — | Done |
| WP-2008 | Controlled oversight path for repeated failures | — | Done |

---

## Phase 3: Governance and Security Enforcement

| WP ID | Description | Issue ID | Status |
|-------|-------------|----------|--------|
| WP-3001 | Policy pre-check and gate evaluator | — | Done |
| WP-3002 | Signed action artifacts for critical operations | — | Done |
| WP-3003 | Override path with TTL and revalidation rules | — | Done |
| WP-3004 | Immutable audit trail and query interface | — | Done |
